,Gender,Age,Height,Built,State,District,Area,Railway
1122,FEMALE,25,153.0,3,DELHI,RAJOURI GARDEN,WEST,False
1123,FEMALE,18,153.0,3,DELHI,MANGOL PURI,CENTRAL,True
1124,FEMALE,17,153.0,3,DELHI,ASHOK VIHAR,NORTH WEST,False
1125,FEMALE,23,153.0,3,DELHI,JYOTI NAGAR,NORTH EAST,False
1126,MALE,3,61.0,2,DELHI,NAND NAGRI,NORTH EAST,False
1127,FEMALE,20,153.0,2,DELHI,KARAWAL NAGAR,NORTH EAST,False
1128,FEMALE,19,153.0,3,UTTAR PRADESH,KOTWALI,NORTH,False
1129,FEMALE,15,153.0,6,DELHI,OKHLA INDUSTRIAL AREA,SOUTH EAST,False
1130,FEMALE,16,153.0,3,DELHI,MANGOL PURI,CENTRAL,True
1131,FEMALE,16,153.0,3,DELHI,VIJAY VIHAR,CENTRAL,False
1132,FEMALE,22,153.0,3,DELHI,NAND NAGRI,NORTH EAST,False
1133,FEMALE,17,153.0,2,DELHI,NAND NAGRI,NORTH EAST,False
1134,FEMALE,30,153.0,3,DELHI,KALYANPURI,EAST,False
1136,FEMALE,20,153.0,2,DELHI,DABRI,SOUTH WEST,False
1137,FEMALE,17,153.0,2,DELHI,BHARAT NAGAR,NORTH WEST,False
1138,FEMALE,2,61.0,2,DELHI,SWAROOP NAGAR,NORTH WEST,False
1139,FEMALE,18,153.0,2,DELHI,MANGOL PURI,CENTRAL,True
1140,FEMALE,19,153.0,3,DELHI,MANGOL PURI,CENTRAL,True
1141,MALE,24,153.0,2,DELHI,VIJAY VIHAR,CENTRAL,False
1142,FEMALE,24,153.0,3,DELHI,PAHAR GANJ,CENTRAL,False
1143,FEMALE,22,122.0,3,DELHI,KALYANPURI,EAST,False
1144,FEMALE,14,153.0,2,DELHI,JAIT PUR,SOUTH EAST,False
1145,FEMALE,16,153.0,2,DELHI,NEB SARAI,SOUTH,False
1146,FEMALE,85,153.0,2,DELHI,NEW DELHI RLY. STN.,CENTRAL,True
1147,FEMALE,15,153.0,3,DELHI,K.M. PUR,SOUTH,False
1148,FEMALE,17,122.0,2,GUJURAT,GANDHINAGAR,WEST,False
1149,FEMALE,17,153.0,3,DELHI,MEHRAULI,SOUTH WEST,False
1150,MALE,25,153.0,3,DELHI,VIVEK VIHAR,EAST,False
1151,MALE,40,153.0,5,DELHI,KHAJURI KHAS,NORTH EAST,False
1152,MALE,22,153.0,2,DELHI,NAND NAGRI,NORTH EAST,False
1153,FEMALE,16,153.0,3,DELHI,MANGOL PURI,CENTRAL,True
1154,FEMALE,22,153.0,2,DELHI,CHHAWALA,SOUTH WEST,False
1155,FEMALE,24,153.0,2,DELHI,VIJAY VIHAR,CENTRAL,False
1156,MALE,20,153.0,2,DELHI,NABI KARIM,CENTRAL,False
1157,MALE,16,153.0,2,DELHI,SAMAIPUR BADLI,CENTRAL,False
1158,MALE,22,153.0,3,DELHI,DARYA GANJ,CENTRAL,False
1159,MALE,48,153.0,2,DELHI,BURARI,NORTH,False
1160,MALE,35,153.0,2,DELHI,KAPASHERA,SOUTH WEST,False
1161,MALE,25,153.0,2,DELHI,SHAHDARA,NORTH EAST,False
1162,MALE,27,153.0,3,DELHI,BAWANA,NORTH WEST,False
1163,MALE,15,153.0,3,DELHI,BAWANA,NORTH WEST,False
1164,MALE,30,153.0,3,DELHI,AMAN VIHAR,CENTRAL,False
1165,MALE,21,153.0,5,DELHI,MANDIR MARG,CENTRAL,False
